tweet,label
"من وين انجيب حرام عليكم
",1
"و الله حرام و الله موتوه لشعب الاردني من وين بدنا نجيب الكو من وين يا الله ارحمو من في الارض يرحمكم من في السماء و الله حرام
",1
"من وين انجيب حرام عليكم
",1
"مش شايف العالم مش ملاقيه الخبز . كل واحد بشتغل على سياره رح يوكل هوا و بارتفاع المحروقات الاكل و الشرب رح يرتفع
",1
"و الله حرام الناس مش لاقيه توكل حتى ترفعو البنزين
",1
"الله لا يشبعكو يا ظلمة انشاء الله كلو بتلقو بالاخرة يا ظلمة ..... خافو الله طبعا اذا بتعرفو ل الله.
",1
"بس الله لا يسامحكم و تلقوها بصحتكم ان شاء الله.
",1
"و الله انكو ما بتخافو الله
",1
"منكو لله احنا لاقيين حق الخبز لحتى ترفعو البنزين صار الواحد يحب يخلص دراسه عشان ما يضل بلاردن لانو ما فيها اشي لا رواتب و لا اشي جد بلد مش فقير بس كلو بوكل كلو و الله ما بنلوم الحراميه ع هيك بلد
",1
"الله اكبر على كل ظالم
",1
"البنزين يجي من السعوديه بأقل الاسعار و الحكومه عندنا تدبل سعره
",1
"و سيارة الحكومه من السعوديه اجن هديه يزلامه المسؤالين اكلونا
",1
"حسبنا الله و نعم الوكيل فيكوا
",1
"الك يوم يا ظالم
",1
"اللة لا يشبعكو يا حرامية
",1
"ذبحتونا
",1
"الله ينتقم منهم اجمعين اللي في بالي
",1
"لقد اتحفتمونا بلجوكم لجيبتنا التي انفجرت بفضلكم و الفاسدين يتنعمون باموالنا فهل اصبح فاسدا لأعيش
",1
"اذا الخبر صحيح انا اول شخص بطالب بالهجرة لاي دولة خليجية او اوروبية او حتى اسرائيل
",1
"انا مش مسؤول عن الحرامية يتفنجرو بمصاري البلد و انا اشحد
",1
"يا ترى الحكومه بدها تزيد دعم المواطن الي الله يكون في عونه
",1
"نهايه مواطن طفران
",1
"كل واحد حرامي  و ما بهمو مصلحة المسكين المواطن الي بشتغل 14ساعة ب 6دنانير
",1
"منك لله و بس
",1
"الله يكون في عون الفقير و الطبقه المتوسط سوف تنحدر اكثر و اكثر
",1
"اللهم انا نشكو اليك ضعف قوتنا و قلة حيلتنا حسبنا الله و نعم الوكيل
",1
"حسبنا الله و نعم الوكيل فيكوا
",1
"صحح الخبر . مش تحرير المشتقات النفطية و إنما توليعها
",1
"الأردن رح يولع يا نسور 
",1
"الحمد الله علشان نرتاح من جميلة الدعم
",1
"انا لله و انا اليه راجعون و الله يستر هالبلد
",1
"يا الله إنك تلطف بينا يا كريم ... أغلب محطات الوقود اليوم رفضت التعبئة هي و مراكز توزيع الغاز .. الله و أكبر على المحتكر الله أكبر عليه , نحتسبه عند رب العباد
",1
"اذا كان هيك الخبر انا ما بدي اعيش
",1
"الفاتحة علي ارواح الغلابة
",1
"يا اخوان احنا قرفنا
",1
"يجب على الحكومة العودة بالتوقيت الى الساعة الثالثة
",1
"بطلت اتجوز
",1
"اطالب برحيل هذه الحكومة
",1
"الطبقة الوسطى في طريقها الى الانقراض على يد عبدالله نسور
",1
"هاي نتيجة انه ينحط انسان .... في موقع مسؤوليه
",1
"سنبقى نذكر دولة الشهيد وصفي التل الذي كان رئيسا للوزراء و حبيبآ للفقراء
",1
"و الله و الله و الله يا نسور رح ننزل الشارع... وقف الموضوع قبل فوات الاوان
",1
"و ارضيت يا دولة الرئيس تكون ... الله اسهل عليك يا عون الخصاونه
",1
"اجل اسقاط حكومة طروانة
",1
"معظم اصحاب محطات الوقود و وكالات الغاز متنفذين .لقد زاد الغني غنى و الفقير فقر 
",1
"إلى إعتصام مفتوح (ميدان تحرير ) للتخلص من قوى الفساد و الإفساد
",1
"شعب لا يحركه هذا الظلم و التعدي على كرامته هو شعب لا يستحق الحياة
",1
"خليه يرفع لكن اللي عنده وطنيه و انتماء يصف سيارته بالشارع و يروح على الشغل مشي
",1
"اوقف القرار للحفاظ على الوطن
",1
"يعني بكل وضوح بدكوا تذلوا الشعب الأردني و تخلوه كل 4 شهور يصف طابور عشان يوخدلوا اكمن ليرة 
",1
"يناس جلدة الغاز مجانا 
",1
"المرة الجاية راح يكون الرفع للميه اذا استمر الخلط
",1
"الله يرفعهم الى جهنم جنب القذافي بأسرع وقت لان الظلم زاد عن حده
",1
"الله لا يرفعه من مكانه اللي برفع الاسعار
",1
"اللهم ارفع ظغط فايز الطراونه
",1
"الله على الظالمين
",1
"مسخره
",1
"الشعب الذي اختار نواب خرجين سجون و سوابق بستاهل اكثر من هيك مشان 50 دينار الله لا يرد هيك شعب
",1
"عمدا فيهم ما نستعمل التدفئة و نلبس فروه
",1
"كله على راس المواطن ما يثير السخرية رفع اسعار المستقات النفطية المستخدمة في الصناعة تقول صناعتنا مكسرة الدنيا
",1
"مشان الله حد يعمله هوشة بدنا نعطللنا شوي
",1
"ليش الطلاب فاضين يعملو مشاكل فاضين للدراسه يعني ما عندهم وقت فراغ للمشاكل
",1
"بكفينا اللي بنشوفو من الدكاترة في الو الواحد نفس يعمل اشي منه
",1
"هذا لا يعني خلوها من الاشكال المصدية 
",1
"احنا بنتهاوش مع الكتب  
",1
" يا اخي وين ما تروح بالاردن تخطى مناطق الشخصيات المهمة بالبلد و الباقي كله مكرهة صحية
",1
"حسبنا الله و نعم الوكيل فيكم و في مجلس النواب الحالي و الذي لا يمثل الشعب الاردني فهم غير سأئلين عن الشعب يبحثون عن مناصب وزاريه و رواتب خياليه بينما المواطن الاردني طفح الكيل معه و اصبح لا يطيق الحياه 
",1
"للهم خذهم اخد عزيز مقتدر فانهم لا يرحموا الضعفاء اللهم سلط عليهم عذابك فانهم ارونا الويلات 
",1
"اللهم ارنا فيهم عجيب صنعك فانهم اذلو الشعوب
",1
"احسن من هيك رئيس وزراء ما في 
",1
"الله وكيلك مشحطط اهل دابوق و دير غبار و عبدون و منعم على الفقراء 
",1
"الله لا يخلف عليهم و لا يكثر خيرهم فعلن شعب مسكين و عبد الله النسور بطل رفع الاسعار 
",1
"عادي محنا اتعودنا على الرفع من يوم يومنا و احنا ما بنعرف غير الرفع همه برفعو و نحنا بندفع و على حسابنا
",1
"حسبنا الله و نعم الوكيل في اناس همهم تجويع الشعب
",1
"بلد يديرها اغبياء و حراميه
",1
"لو يبطلو سرقه بهالخزينه و الله الشعب ليعيش و لكو ارحمونا حرام عليكم
",1
"لوين ندكم توصلونا و الله هموم المصاريف قتلت الصغير قبل الكبير الله ياخذ حقنا منكم و لا يباركلكم
",1
"ارحمونا صرنا نصف السيارة و نطلع بالباص حرام عليكم
",1
"انا اردني و بقول الشعب بيستاهل غلا اكثر من هيك
",1
"بدكو تخلونا نشحد
",1
"الحكومة قاعدة بتخبص و رايحين يدمروا البلد الله ينتقم منهم
",1
"و الله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله لا يوفق الي كان السبب و الله حرام
",1
"اتقوا الله فينا بكفي رفع اسعار و الرواتب بالحضيض
",1
"حسبي الله و نعم الوكيل في كل ظالم و مفتري و الله يعين الشعب
",1
"اللي لازم يصير اضراب جميع موظفي الدوائر الحكوميه و الخاصه لمدة اسبوع و شوف بعدها
",1
"و الله مش طبيعي حرام و الله غير تنتشر السرقة و النهب خرب الامان النشور
",1
"و الله مش عارفة شو بدنا نسوي نشحد مثلا
",1
"اي تفائل هاد يا زلمة روح تشائم احسلك
",1
"انا متشائم و رح اضل متشائم حتى ينزلوا البنزين
",1
"انا بكرهك 
",1
"مش عارف كيف الناس بتحبك يا زلمة؟
",1
"ما اثقل دمك و ما اغباك
",1
"ما ازنخك انت و مقالاتك
",1
"روح اكتب اشي زي العالم و الناس بدل ما انت بتتهبل هيك و بتتمسخر يا مسخرة
",1
"كيف صرت كاتب يا زلمة ؟؟ انت كثير عليك حمار
",1
"اقترح تحويلهم الى طبيب نفسي و ليس الى القضاء
",1
"مؤامره معروفه ضد الشرفاء في هذا البلد
",1
"كنا نقول البلد حاميها حراميها و ماذا سنقول الأن مفتيها حراميها و الله الواحد تحير في هذه الامة التي اصبح الحليم فيها حيران 
",1
"و هكذا جنت على نفسها براقش
",1
"يجب وضع كل من تسول له نفسة مجرد ان يعمل اي تصرف لا يليق بالاردن ان يسجن و يسجن شىء مخزي شوية همل و زعران يخربوا الجامعات و سمعة البلد 
",1
"الله يوخذكم
",1
"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل
",1
"المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة
",1
"الله يخرب بيوتكن و يخرب كل الحكومة الفاسدة
",1
"المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة
",1
"الطاقة الشمسية هي البديل و ليست النووية
",1
"للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي ""كما اعلنت هيئة الطاقة"" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل
",1
"للي مفكرين المفاعل راح يطورهم - المفاعل راح يدمر الأردن و المنطقة اللي حولها لأن الفساد الموجود بالأردن مش موجود بدوله أخرى وهذا يعني أن الفاسدين رايحين يسمسروا و يلهفوا لما يوصلوا اشكل مفاعل للأردن و ناسين أن المفاعل يحتاج إلى بحر ماء للتبريد و نحن لانملك ماء للشرب و ناسين أن التطور يكون بمشاركة الجميع و ليس بقرار فردي و ناسين أن الذي أقر المفاعل هو المحتكر الأول هيئة الطاقة و أن شاغرها بقي معلق أثناء فترة تسلم طوقان وزارة التربية و التعليم ؟؟؟ لدول المتقدمة بدأت تبحث عن بدائل للمفاعلات و احنا بنشتري الخربان منهم مشان التقدم و بلدنا بفضل الله لديها طاقة الرياح و طاقة الشمس لماذا لا يتم إستغلالها بدل المفاعل النووي طالما أكلنا معظمه فاسد و غير صالح بسبب الجشع و الطمع و الفساد.
",1
"يا اخوان ... مش عارف ليش النووي و احنا عندنا النووي الطبيعي ...شمس و رياح ( نسبة سطوع الشمس بالمملكه على مدار العام 290 يوم من 365 يوم ) و عندنا بالاردن اذا خط ماء بينضرب بيقعدوا اسبوع الى 4 اسابيع لما يصلحوه ,,, ايش بده يصير فينا بكره مع النووي ... بالاضافه الى انه ما عندنا ماء نشرب ... من وين بدنا نجيب للتبريد ... الله يهديهم
",1
